time,gFx,gFy,gFz,TgF
5.007000,0.0095,-0.0762,1.0039,1.007
5.012000,0.0063,-0.0745,1.0100,1.013
5.012000,0.0076,-0.0752,1.0192,1.022
5.017000,0.0085,-0.0733,1.0253,1.028
5.017000,0.0083,-0.0730,1.0310,1.034
5.022000,0.0085,-0.0730,1.0317,1.034
5.023000,0.0059,-0.0735,1.0344,1.037
5.028000,0.0051,-0.0742,1.0346,1.037
5.028000,0.0041,-0.0752,1.0317,1.034
5.032000,0.0056,-0.0772,1.0290,1.032
5.033000,0.0066,-0.0781,1.0210,1.024
5.038000,0.0063,-0.0779,1.0146,1.018
5.038000,0.0032,-0.0777,1.0109,1.014
5.042000,0.0015,-0.0781,1.0085,1.012
5.042000,0.0049,-0.0791,1.0075,1.011
5.045000,0.0027,-0.0806,1.0087,1.012
5.046000,0.0027,-0.0808,1.0092,1.012
5.050000,0.0024,-0.0811,1.0129,1.016
5.050000,0.0017,-0.0823,1.0148,1.018
5.056000,0.0032,-0.0820,1.0139,1.017
5.056000,0.0019,-0.0833,1.0173,1.021
5.061000,0.0002,-0.0828,1.0232,1.026
5.061000,0.0022,-0.0825,1.0261,1.029
5.067000,0.0007,-0.0833,1.0351,1.038
5.067000,0.0039,-0.0828,1.0442,1.047
5.070000,0.0024,-0.0813,1.0483,1.051
5.071000,0.0007,-0.0818,1.0510,1.054
5.075000,-0.0000,-0.0799,1.0532,1.056
5.075000,0.0015,-0.0813,1.0530,1.056
5.080000,-0.0007,-0.0801,1.0486,1.052
5.080000,0.0017,-0.0784,1.0461,1.049
5.084000,0.0015,-0.0791,1.0437,1.047
5.085000,-0.0000,-0.0796,1.0388,1.042
5.089000,0.0002,-0.0786,1.0373,1.040
5.090000,-0.0007,-0.0777,1.0339,1.037
5.095000,0.0002,-0.0789,1.0349,1.038
5.095000,-0.0000,-0.0750,1.0334,1.036
5.099000,0.0005,-0.0755,1.0300,1.033
5.099000,-0.0022,-0.0725,1.0295,1.032
5.104000,-0.0007,-0.0708,1.0283,1.031
5.104000,0.0005,-0.0693,1.0278,1.030
5.111000,-0.0007,-0.0696,1.0246,1.027
5.111000,0.0015,-0.0676,1.0253,1.028
5.114000,0.0010,-0.0679,1.0232,1.025
5.115000,0.0032,-0.0667,1.0217,1.024
5.119000,0.0029,-0.0632,1.0197,1.022
5.119000,0.0022,-0.0632,1.0185,1.020
5.124000,0.0005,-0.0613,1.0168,1.019
5.124000,0.0034,-0.0606,1.0146,1.016
5.129000,0.0027,-0.0576,1.0097,1.011
5.129000,0.0034,-0.0579,1.0082,1.010
5.134000,0.0041,-0.0571,1.0073,1.009
5.135000,0.0044,-0.0547,1.0031,1.005
5.138000,0.0054,-0.0542,1.0031,1.005
5.139000,0.0041,-0.0525,1.0029,1.004
5.144000,0.0051,-0.0530,1.0053,1.007
5.144000,0.0051,-0.0520,1.0087,1.010
5.148000,0.0063,-0.0513,1.0090,1.010
5.148000,0.0037,-0.0510,1.0124,1.014
5.153000,0.0039,-0.0505,1.0158,1.017
5.154000,0.0044,-0.0486,1.0197,1.021
5.158000,0.0027,-0.0478,1.0192,1.020
5.158000,0.0032,-0.0461,1.0232,1.024
5.163000,0.0012,-0.0452,1.0222,1.023
5.164000,0.0049,-0.0437,1.0232,1.024
5.170000,0.0041,-0.0439,1.0217,1.023
5.171000,0.0039,-0.0422,1.0236,1.025
5.176000,0.0076,-0.0417,1.0217,1.023
5.177000,0.0098,-0.0415,1.0158,1.017
5.177000,0.0110,-0.0430,1.0168,1.018
5.177000,0.0127,-0.0386,1.0131,1.014
5.189000,0.0137,-0.0393,1.0126,1.013
5.189000,0.0166,-0.0371,1.0102,1.011
5.190000,0.0169,-0.0369,1.0090,1.010
5.190000,0.0173,-0.0359,1.0070,1.008
5.192000,0.0193,-0.0342,1.0056,1.006
5.193000,0.0203,-0.0344,1.0043,1.005
5.197000,0.0222,-0.0329,1.0046,1.005
5.198000,0.0217,-0.0339,1.0019,1.003
5.201000,0.0217,-0.0342,1.0041,1.005
5.202000,0.0217,-0.0344,1.0053,1.006
5.206000,0.0217,-0.0354,1.0060,1.007
5.206000,0.0247,-0.0359,1.0080,1.009
5.212000,0.0254,-0.0373,1.0058,1.007
5.212000,0.0247,-0.0398,1.0056,1.007
5.217000,0.0259,-0.0413,1.0075,1.009
5.217000,0.0242,-0.0449,1.0078,1.009
5.222000,0.0232,-0.0474,1.0058,1.007
5.223000,0.0244,-0.0505,1.0065,1.008
5.226000,0.0234,-0.0508,1.0043,1.006
5.227000,0.0215,-0.0535,1.0046,1.006
5.230000,0.0205,-0.0537,1.0041,1.006
5.231000,0.0191,-0.0576,1.0063,1.008
5.235000,0.0169,-0.0559,1.0080,1.010
5.236000,0.0132,-0.0584,1.0095,1.011
5.241000,0.0093,-0.0596,1.0109,1.013
5.241000,0.0041,-0.0623,1.0134,1.015
5.245000,0.0019,-0.0618,1.0163,1.018
5.246000,0.0002,-0.0647,1.0163,1.018
5.250000,-0.0010,-0.0640,1.0227,1.025
5.251000,-0.0029,-0.0671,1.0271,1.029
5.256000,-0.0049,-0.0676,1.0302,1.032
5.257000,-0.0066,-0.0681,1.0329,1.035
5.260000,-0.0068,-0.0711,1.0354,1.038
5.260000,-0.0095,-0.0728,1.0420,1.045
5.265000,-0.0086,-0.0718,1.0429,1.045
5.266000,-0.0103,-0.0745,1.0437,1.046
5.270000,-0.0110,-0.0759,1.0464,1.049
5.271000,-0.0112,-0.0750,1.0471,1.050
5.275000,-0.0110,-0.0781,1.0473,1.050
5.276000,-0.0112,-0.0781,1.0471,1.050
5.280000,-0.0110,-0.0779,1.0481,1.051
5.280000,-0.0090,-0.0786,1.0464,1.049
5.286000,-0.0098,-0.0777,1.0442,1.047
5.286000,-0.0088,-0.0779,1.0437,1.047
5.293000,-0.0071,-0.0781,1.0415,1.044
5.293000,-0.0056,-0.0777,1.0383,1.041
5.295000,-0.0083,-0.0747,1.0363,1.039
5.296000,-0.0088,-0.0757,1.0317,1.035
5.301000,-0.0081,-0.0740,1.0273,1.030
5.302000,-0.0054,-0.0737,1.0244,1.027
5.311000,-0.0083,-0.0737,1.0236,1.026
5.311000,-0.0090,-0.0725,1.0251,1.028
5.311000,-0.0103,-0.0723,1.0207,1.023
5.311000,-0.0059,-0.0733,1.0222,1.025
5.314000,-0.0061,-0.0735,1.0229,1.026
5.314000,-0.0005,-0.0718,1.0156,1.018
5.321000,-0.0012,-0.0747,1.0060,1.009
5.321000,-0.0000,-0.0728,0.9987,1.001
5.323000,0.0054,-0.0740,0.9919,0.995
5.324000,0.0051,-0.0757,0.9872,0.990
5.328000,0.0083,-0.0791,0.9941,0.997
5.328000,0.0090,-0.0784,1.0026,1.006
5.333000,0.0090,-0.0791,1.0170,1.020
5.334000,0.0095,-0.0794,1.0324,1.036
5.339000,0.0105,-0.0806,1.0424,1.046
5.339000,0.0095,-0.0791,1.0473,1.050
5.346000,0.0120,-0.0820,1.0539,1.057
5.347000,0.0115,-0.0796,1.0603,1.063
5.348000,0.0100,-0.0801,1.0613,1.064
5.348000,0.0103,-0.0818,1.0515,1.055
5.353000,0.0100,-0.0808,1.0407,1.044
5.353000,0.0122,-0.0820,1.0366,1.040
5.358000,0.0132,-0.0823,1.0344,1.038
5.359000,0.0088,-0.0801,1.0359,1.039
5.362000,0.0098,-0.0803,1.0293,1.032
5.363000,0.0098,-0.0769,1.0227,1.026
5.367000,0.0110,-0.0767,1.0131,1.016
5.368000,0.0122,-0.0786,1.0002,1.003
5.373000,0.0112,-0.0755,0.9975,1.000
5.373000,0.0112,-0.0737,0.9941,0.997
5.378000,0.0095,-0.0740,0.9990,1.002
5.378000,0.0100,-0.0728,1.0004,1.003
5.382000,0.0076,-0.0733,1.0036,1.006
5.383000,0.0054,-0.0718,1.0070,1.010
5.388000,0.0061,-0.0696,1.0104,1.013
5.389000,0.0032,-0.0681,1.0144,1.017
5.392000,0.0029,-0.0659,1.0166,1.019
5.392000,0.0019,-0.0671,1.0192,1.021
5.398000,0.0002,-0.0642,1.0188,1.021
5.398000,-0.0000,-0.0632,1.0195,1.021
5.402000,0.0005,-0.0640,1.0239,1.026
5.402000,-0.0007,-0.0610,1.0236,1.025
5.407000,-0.0022,-0.0623,1.0271,1.029
5.408000,-0.0020,-0.0584,1.0266,1.028
5.411000,-0.0010,-0.0586,1.0263,1.028
5.412000,0.0007,-0.0564,1.0244,1.026
5.416000,-0.0022,-0.0566,1.0197,1.021
5.417000,-0.0017,-0.0542,1.0180,1.019
5.423000,-0.0024,-0.0542,1.0166,1.018
5.423000,-0.0034,-0.0530,1.0122,1.014
5.432000,-0.0024,-0.0530,1.0136,1.015
5.432000,-0.0027,-0.0508,1.0107,1.012
5.433000,-0.0027,-0.0493,1.0095,1.011
5.433000,-0.0012,-0.0488,1.0112,1.012
5.436000,-0.0027,-0.0491,1.0131,1.014
5.437000,-0.0000,-0.0486,1.0129,1.014
5.441000,0.0017,-0.0466,1.0170,1.018
5.441000,0.0017,-0.0481,1.0161,1.017
5.445000,0.0022,-0.0466,1.0148,1.016
5.446000,0.0034,-0.0481,1.0136,1.015
5.451000,0.0049,-0.0471,1.0144,1.015
5.451000,0.0076,-0.0474,1.0134,1.015
5.455000,0.0081,-0.0466,1.0112,1.012
5.456000,0.0129,-0.0476,1.0095,1.011
5.461000,0.0127,-0.0486,1.0100,1.011
5.461000,0.0156,-0.0471,1.0109,1.012
5.466000,0.0169,-0.0483,1.0124,1.014
5.466000,0.0183,-0.0493,1.0122,1.014
5.470000,0.0191,-0.0513,1.0139,1.015
5.470000,0.0217,-0.0522,1.0161,1.018
5.475000,0.0232,-0.0520,1.0161,1.018
5.475000,0.0239,-0.0510,1.0219,1.023
5.480000,0.0232,-0.0559,1.0210,1.023
5.481000,0.0232,-0.0559,1.0236,1.025
5.485000,0.0237,-0.0554,1.0244,1.026
5.486000,0.0247,-0.0562,1.0261,1.028
5.491000,0.0210,-0.0571,1.0283,1.030
5.491000,0.0208,-0.0584,1.0288,1.031
5.494000,0.0203,-0.0586,1.0280,1.030
5.494000,0.0200,-0.0576,1.0307,1.033
5.500000,0.0166,-0.0579,1.0302,1.032
5.501000,0.0154,-0.0596,1.0315,1.033
5.504000,0.0129,-0.0586,1.0317,1.033
5.504000,0.0090,-0.0593,1.0315,1.033
5.509000,0.0117,-0.0601,1.0317,1.034
5.509000,0.0085,-0.0606,1.0310,1.033
5.514000,0.0078,-0.0603,1.0305,1.032
5.514000,0.0041,-0.0598,1.0302,1.032
5.519000,0.0046,-0.0608,1.0295,1.031
5.520000,0.0027,-0.0601,1.0290,1.031
5.527000,0.0012,-0.0606,1.0280,1.030
5.527000,-0.0007,-0.0569,1.0222,1.024
5.533000,-0.0024,-0.0576,1.0232,1.025
5.534000,-0.0010,-0.0593,1.0229,1.025
5.534000,-0.0042,-0.0576,1.0239,1.026
5.534000,-0.0017,-0.0601,1.0244,1.026
5.544000,-0.0027,-0.0606,1.0207,1.023
5.545000,-0.0017,-0.0584,1.0214,1.023
5.545000,0.0007,-0.0588,1.0219,1.024
5.545000,0.0015,-0.0593,1.0205,1.022
5.548000,0.0037,-0.0593,1.0178,1.020
5.549000,0.0015,-0.0566,1.0200,1.022
5.554000,0.0029,-0.0579,1.0183,1.020
5.554000,0.0056,-0.0593,1.0192,1.021
5.558000,0.0061,-0.0591,1.0190,1.021
5.558000,0.0073,-0.0598,1.0190,1.021
5.563000,0.0076,-0.0584,1.0166,1.018
5.563000,0.0083,-0.0601,1.0178,1.020
5.567000,0.0066,-0.0601,1.0185,1.020
5.568000,0.0056,-0.0608,1.0210,1.023
5.573000,0.0068,-0.0618,1.0188,1.021
5.573000,0.0090,-0.0623,1.0178,1.020
5.577000,0.0061,-0.0610,1.0200,1.022
5.577000,0.0071,-0.0630,1.0239,1.026
5.583000,0.0049,-0.0623,1.0236,1.026
5.584000,0.0044,-0.0608,1.0246,1.026
5.587000,0.0046,-0.0596,1.0249,1.027
5.587000,0.0044,-0.0598,1.0266,1.028
5.592000,0.0044,-0.0603,1.0275,1.029
5.592000,0.0034,-0.0574,1.0280,1.030
5.597000,0.0049,-0.0593,1.0283,1.030
5.598000,0.0029,-0.0584,1.0278,1.029
5.602000,0.0015,-0.0588,1.0266,1.028
5.602000,0.0034,-0.0593,1.0241,1.026
5.607000,0.0027,-0.0591,1.0246,1.026
5.607000,0.0032,-0.0598,1.0202,1.022
5.612000,0.0054,-0.0606,1.0156,1.017
5.612000,0.0049,-0.0601,1.0139,1.016
5.617000,0.0034,-0.0596,1.0153,1.017
5.617000,0.0039,-0.0593,1.0197,1.021
5.622000,0.0034,-0.0584,1.0234,1.025
5.622000,0.0039,-0.0579,1.0283,1.030
5.626000,0.0029,-0.0571,1.0332,1.035
5.626000,0.0032,-0.0574,1.0361,1.038
5.631000,0.0032,-0.0571,1.0351,1.037
5.631000,0.0039,-0.0584,1.0310,1.033
5.637000,0.0024,-0.0608,1.0253,1.027
5.638000,0.0034,-0.0598,1.0178,1.020
5.647000,0.0039,-0.0620,1.0095,1.011
5.647000,0.0051,-0.0620,1.0063,1.008
5.647000,0.0044,-0.0647,1.0026,1.005
5.648000,0.0061,-0.0681,0.9999,1.002
5.656000,0.0049,-0.0674,1.0031,1.005
5.657000,0.0041,-0.0659,0.9997,1.002
5.657000,0.0051,-0.0669,1.0021,1.004
5.657000,0.0056,-0.0689,1.0056,1.008
5.661000,0.0083,-0.0667,1.0053,1.008
5.661000,0.0088,-0.0679,1.0085,1.011
5.665000,0.0059,-0.0684,1.0102,1.013
5.665000,0.0066,-0.0681,1.0136,1.016
5.670000,0.0059,-0.0679,1.0202,1.022
5.671000,0.0027,-0.0669,1.0295,1.032
5.675000,0.0063,-0.0659,1.0363,1.038
5.676000,0.0046,-0.0652,1.0442,1.046
5.680000,0.0041,-0.0659,1.0498,1.052
5.681000,0.0032,-0.0654,1.0547,1.057
5.685000,0.0017,-0.0647,1.0547,1.057
5.685000,0.0051,-0.0645,1.0539,1.056
5.691000,0.0049,-0.0645,1.0481,1.050
5.692000,0.0029,-0.0652,1.0439,1.046
5.695000,0.0034,-0.0635,1.0395,1.041
5.695000,0.0034,-0.0642,1.0344,1.036
5.699000,0.0034,-0.0649,1.0290,1.031
5.700000,0.0024,-0.0642,1.0275,1.030
5.707000,0.0024,-0.0640,1.0249,1.027
5.708000,0.0027,-0.0623,1.0210,1.023
5.709000,0.0019,-0.0603,1.0205,1.022
5.709000,0.0022,-0.0615,1.0197,1.022
5.714000,0.0029,-0.0588,1.0180,1.020
5.715000,0.0027,-0.0588,1.0175,1.019
5.719000,0.0037,-0.0598,1.0136,1.015
5.719000,0.0041,-0.0586,1.0180,1.020
5.724000,0.0032,-0.0579,1.0139,1.016
5.725000,0.0032,-0.0591,1.0109,1.013
5.728000,0.0027,-0.0574,1.0107,1.012
5.728000,0.0041,-0.0584,1.0095,1.011
5.736000,0.0066,-0.0581,1.0082,1.010
5.736000,0.0044,-0.0593,1.0095,1.011
5.739000,0.0046,-0.0593,1.0102,1.012
5.739000,0.0073,-0.0588,1.0114,1.013
5.744000,0.0073,-0.0574,1.0104,1.012
5.745000,0.0073,-0.0581,1.0119,1.014
5.748000,0.0066,-0.0566,1.0131,1.015
5.748000,0.0071,-0.0584,1.0163,1.018
5.754000,0.0085,-0.0564,1.0185,1.020
5.754000,0.0088,-0.0574,1.0219,1.024
5.758000,0.0088,-0.0598,1.0278,1.030
5.758000,0.0103,-0.0574,1.0300,1.032
5.764000,0.0061,-0.0564,1.0327,1.034
5.764000,0.0068,-0.0566,1.0351,1.037
5.772000,0.0056,-0.0574,1.0356,1.037
5.773000,0.0051,-0.0574,1.0346,1.036
5.779000,0.0044,-0.0569,1.0349,1.036
5.779000,0.0044,-0.0571,1.0329,1.035
5.779000,0.0041,-0.0576,1.0307,1.032
5.779000,0.0039,-0.0562,1.0302,1.032
5.791000,0.0049,-0.0574,1.0271,1.029
5.791000,0.0022,-0.0559,1.0229,1.024
5.791000,0.0032,-0.0554,1.0217,1.023
5.792000,0.0012,-0.0559,1.0188,1.020
5.792000,0.0012,-0.0552,1.0141,1.016
5.793000,0.0007,-0.0542,1.0141,1.016
5.797000,0.0017,-0.0562,1.0107,1.012
5.797000,0.0041,-0.0579,1.0092,1.011
5.802000,0.0002,-0.0552,1.0092,1.011
5.803000,0.0007,-0.0569,1.0090,1.011
5.807000,0.0041,-0.0542,1.0082,1.010
5.807000,0.0024,-0.0574,1.0085,1.010
5.812000,0.0044,-0.0566,1.0102,1.012
5.812000,0.0051,-0.0586,1.0134,1.015
5.816000,0.0059,-0.0598,1.0114,1.013
5.817000,0.0063,-0.0603,1.0126,1.014
5.821000,0.0051,-0.0598,1.0153,1.017
5.821000,0.0076,-0.0625,1.0197,1.022
5.826000,0.0083,-0.0615,1.0188,1.021
5.827000,0.0076,-0.0630,1.0212,1.023
5.831000,0.0090,-0.0632,1.0205,1.022
5.831000,0.0076,-0.0637,1.0219,1.024
5.836000,0.0081,-0.0640,1.0200,1.022
5.836000,0.0088,-0.0657,1.0224,1.025
5.841000,0.0083,-0.0637,1.0232,1.025
5.841000,0.0078,-0.0657,1.0227,1.025
5.847000,0.0085,-0.0654,1.0239,1.026
5.848000,0.0076,-0.0630,1.0278,1.030
5.851000,0.0078,-0.0632,1.0285,1.030
5.851000,0.0066,-0.0652,1.0307,1.033
5.856000,0.0081,-0.0627,1.0337,1.036
5.856000,0.0059,-0.0630,1.0359,1.038
5.860000,0.0076,-0.0613,1.0366,1.038
5.861000,0.0063,-0.0620,1.0376,1.039
5.865000,0.0032,-0.0618,1.0373,1.039
5.865000,0.0046,-0.0610,1.0356,1.037
5.870000,0.0041,-0.0601,1.0349,1.037
5.871000,0.0029,-0.0606,1.0337,1.035
5.876000,0.0022,-0.0593,1.0307,1.032
5.876000,0.0029,-0.0596,1.0290,1.031
5.880000,0.0041,-0.0610,1.0307,1.033
5.881000,0.0041,-0.0606,1.0273,1.029
5.885000,0.0044,-0.0601,1.0224,1.024
5.885000,0.0051,-0.0588,1.0214,1.023
5.890000,0.0041,-0.0579,1.0173,1.019
5.891000,0.0037,-0.0557,1.0183,1.020
5.894000,0.0049,-0.0601,1.0144,1.016
5.894000,0.0044,-0.0576,1.0131,1.015
5.901000,0.0061,-0.0549,1.0100,1.011
5.901000,0.0059,-0.0549,1.0060,1.008
5.904000,0.0059,-0.0559,1.0034,1.005
5.905000,0.0059,-0.0537,1.0024,1.004
5.910000,0.0059,-0.0557,1.0046,1.006
5.910000,0.0059,-0.0569,1.0046,1.006
5.915000,0.0076,-0.0571,1.0092,1.011
5.915000,0.0068,-0.0569,1.0122,1.014
5.920000,0.0068,-0.0576,1.0112,1.013
5.920000,0.0093,-0.0566,1.0058,1.007
5.937000,0.0073,-0.0601,0.9995,1.001
5.937000,0.0061,-0.0625,0.9924,0.994
5.937000,0.0078,-0.0623,0.9892,0.991
5.937000,0.0046,-0.0623,0.9889,0.991
5.937000,0.0068,-0.0645,0.9977,1.000
5.937000,0.0046,-0.0654,1.0080,1.010
5.939000,0.0041,-0.0671,1.0278,1.030
5.939000,0.0027,-0.0676,1.0444,1.047
5.943000,0.0037,-0.0669,1.0581,1.060
5.944000,0.0034,-0.0662,1.0642,1.066
5.948000,0.0046,-0.0686,1.0691,1.071
5.949000,0.0037,-0.0689,1.0767,1.079
5.952000,0.0046,-0.0686,1.0730,1.075
5.952000,0.0034,-0.0693,1.0627,1.065
5.958000,0.0076,-0.0711,1.0532,1.056
5.958000,0.0076,-0.0696,1.0468,1.049
5.963000,0.0085,-0.0693,1.0444,1.047
5.963000,0.0063,-0.0711,1.0427,1.045
5.969000,0.0081,-0.0696,1.0337,1.036
5.969000,0.0085,-0.0659,1.0224,1.025
5.973000,0.0083,-0.0642,1.0122,1.014
5.974000,0.0044,-0.0647,0.9987,1.001
5.978000,0.0046,-0.0632,0.9946,0.997
5.979000,0.0022,-0.0625,0.9955,0.998
5.982000,0.0024,-0.0627,0.9995,1.001
