time,wx (rad/s),wy (rad/s),wz (rad/s)
5.443,-0.01,0.03,0.00
5.447,-0.01,0.03,0.00
5.447,-0.01,0.02,0.00
5.452,-0.01,0.02,0.00
5.453,-0.01,0.02,0.00
5.457,-0.00,0.02,0.00
5.457,-0.00,0.02,0.00
5.461,0.00,0.01,0.00
5.462,0.00,0.01,0.00
5.467,0.00,0.01,0.01
5.467,0.00,0.01,0.01
5.472,0.00,0.01,0.01
5.473,0.00,0.01,0.01
5.476,-0.00,0.01,0.01
5.477,-0.00,0.01,0.01
5.481,-0.01,0.01,0.01
5.483,-0.01,0.01,0.01
5.485,-0.01,0.01,0.01
5.486,-0.02,0.02,0.01
5.491,-0.02,0.02,0.01
5.492,-0.03,0.02,0.01
5.496,-0.03,0.02,0.01
5.497,-0.03,0.02,0.01
5.501,-0.03,0.02,0.01
5.502,-0.02,0.03,0.01
5.505,-0.02,0.04,0.01
5.506,-0.02,0.05,0.00
5.510,-0.01,0.06,0.00
5.510,-0.01,0.07,0.00
5.515,-0.01,0.07,0.00
5.516,-0.01,0.06,0.00
5.521,-0.01,0.05,-0.00
5.521,-0.01,0.05,-0.00
5.526,-0.00,0.04,-0.01
5.526,0.00,0.03,-0.01
5.529,0.01,0.01,-0.01
5.530,0.01,-0.01,-0.01
5.535,0.02,-0.03,-0.01
5.535,0.02,-0.04,-0.01
5.541,0.03,-0.05,-0.01
5.541,0.04,-0.06,-0.01
5.545,0.04,-0.06,-0.01
5.546,0.04,-0.06,-0.01
5.550,0.03,-0.07,-0.01
5.550,0.03,-0.07,-0.01
5.554,0.03,-0.06,-0.01
5.555,0.02,-0.05,-0.01
5.559,0.02,-0.04,-0.01
5.559,0.01,-0.03,-0.01
5.564,0.01,-0.01,-0.01
5.565,0.00,-0.01,-0.01
5.569,0.00,-0.00,-0.01
5.569,-0.00,0.00,-0.01
5.575,0.00,0.00,-0.01
5.576,0.01,0.01,-0.01
5.579,0.01,0.00,-0.01
5.579,0.01,0.00,-0.01
5.586,0.02,-0.00,-0.01
5.586,0.03,-0.01,-0.01
5.589,0.03,-0.01,-0.00
5.589,0.03,-0.01,-0.00
5.595,0.04,-0.01,-0.00
5.595,0.04,-0.02,-0.00
5.598,0.03,-0.02,-0.00
5.598,0.03,-0.02,0.00
5.603,0.03,-0.02,-0.00
5.603,0.02,-0.01,0.00
5.607,0.02,-0.01,0.00
5.608,0.00,-0.00,0.00
5.612,0.00,0.00,0.00
5.613,-0.01,0.01,0.00
5.618,-0.01,0.01,0.00
5.618,-0.01,0.01,0.00
5.624,-0.02,0.01,0.00
5.624,-0.02,0.01,0.00
5.629,-0.03,0.01,-0.00
5.629,-0.03,0.01,0.00
5.632,-0.03,0.01,-0.00
5.632,-0.02,0.00,-0.00
5.640,-0.02,0.00,-0.00
5.640,-0.02,0.00,-0.00
5.642,-0.02,0.00,-0.00
5.642,-0.01,0.00,-0.01
5.647,-0.01,0.00,-0.01
5.647,-0.01,-0.00,-0.01
5.652,-0.01,-0.00,-0.01
5.652,-0.01,-0.01,-0.01
5.657,-0.01,-0.01,-0.01
5.658,-0.01,-0.01,-0.01
5.661,-0.01,-0.01,-0.01
5.662,-0.01,-0.01,-0.01
5.668,-0.01,-0.01,-0.01
5.668,-0.01,-0.00,-0.01
5.671,-0.01,-0.00,-0.01
5.673,-0.01,0.00,-0.01
5.676,-0.02,0.01,-0.01
5.677,-0.02,0.01,-0.01
5.681,-0.02,0.01,-0.01
5.682,-0.02,0.01,-0.01
5.685,-0.02,0.01,-0.01
5.686,-0.01,0.01,-0.00
5.692,-0.01,0.01,-0.00
5.692,-0.01,0.01,-0.00
5.697,-0.01,0.01,-0.00
5.697,-0.01,0.01,-0.00
5.701,-0.01,0.01,-0.00
5.702,-0.01,0.01,-0.00
5.706,-0.01,0.01,-0.00
5.707,-0.01,0.01,-0.00
5.710,-0.01,0.00,-0.00
5.710,-0.01,0.00,-0.00
5.716,-0.01,-0.00,-0.00
