
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.0400,-0.1312,0.2372,0.9765,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0400,-0.1146,0.2784,0.9309,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0830,-0.0900,0.2934,0.8967,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0840,-0.0900,0.2934,0.8967,0.0000,0.0000,0.0000,0.0720,-0.1449,-0.2048,0.0000,0.0000,0.0000,
0.0840,-0.1175,0.2711,0.9458,0.0000,0.0000,0.0000,0.0720,-0.1449,-0.2048,0.0000,0.0000,0.0000,
0.1050,-0.1091,0.2381,1.0063,0.0000,0.0000,0.0000,0.0720,-0.1449,-0.2048,0.0000,0.0000,0.0000,
0.1050,-0.1091,0.2381,1.0063,0.0000,0.0000,0.0000,-0.1262,0.0155,-0.0316,0.0000,0.0000,0.0000,
0.1510,-0.0851,0.2048,1.0611,0.0000,0.0000,0.0000,-0.1262,0.0155,-0.0316,0.0000,0.0000,0.0000,
0.1520,-0.0851,0.2048,1.0611,0.0000,0.0000,0.0000,-0.0605,-0.0392,-0.0007,0.0000,0.0000,0.0000,
0.1530,-0.0575,0.1868,1.0587,0.0000,0.0000,0.0000,-0.0605,-0.0392,-0.0007,0.0000,0.0000,0.0000,
0.1530,-0.0575,0.1868,1.0587,0.0000,0.0000,0.0000,-0.0605,-0.0392,-0.0007,-7.9409,-9.0502,-36.1409,
0.1540,0.0016,0.1781,1.0196,0.0000,0.0000,0.0000,-0.0605,-0.0392,-0.0007,-7.9409,-9.0502,-36.1409,
0.1550,0.0016,0.1781,1.0196,0.0000,0.0000,0.0000,-0.0605,-0.0392,-0.0007,-7.9409,-9.0502,-36.1409,
0.1720,-0.0122,0.1875,1.0283,0.0000,0.0000,0.0000,-0.0605,-0.0392,-0.0007,-7.9409,-9.0502,-36.1409,
0.1730,-0.0122,0.1875,1.0283,0.0000,0.0000,0.0000,0.0699,-0.1244,-0.3318,-7.9409,-9.0502,-36.1409,
0.2170,-0.0122,0.1875,1.0283,0.0000,0.0000,0.0000,0.1300,-0.1861,-0.6840,-7.9409,-9.0502,-36.1409,
0.2190,-0.0768,0.1966,1.0449,0.0000,0.0000,0.0000,0.1300,-0.1861,-0.6840,-7.9409,-9.0502,-36.1409,
0.2190,-0.1465,0.2010,1.0339,0.0000,0.0000,0.0000,0.1300,-0.1861,-0.6840,-7.9409,-9.0502,-36.1409,
0.2200,-0.1465,0.2010,1.0339,0.0000,0.0000,0.0000,0.1300,-0.1861,-0.6840,-7.9919,-9.1357,-36.3022,
0.2320,-0.1593,0.2176,0.9941,0.0000,0.0000,0.0000,0.1300,-0.1861,-0.6840,-7.9919,-9.1357,-36.3022,
0.2330,-0.1593,0.2176,0.9941,0.2651,-0.4125,0.5395,0.1300,-0.1861,-0.6840,-7.9919,-9.1357,-36.3022,
0.2840,-0.1819,0.2646,0.9359,0.2651,-0.4125,0.5395,0.1300,-0.1861,-0.6840,-7.9919,-9.1357,-36.3022,
0.2850,-0.1557,0.2813,0.8793,0.2651,-0.4125,0.5395,0.1300,-0.1861,-0.6840,-7.9919,-9.1357,-36.3022,
0.2850,-0.1557,0.2813,0.8793,0.2651,-0.4125,0.5395,0.2467,-0.2884,-0.6229,-7.9919,-9.1357,-36.3022,
0.2860,-0.1557,0.2813,0.8793,0.2651,-0.4125,0.5395,0.2467,-0.2884,-0.6229,-8.0034,-9.5689,-35.9698,
0.2880,-0.1557,0.2813,0.8793,-0.0964,-0.3195,0.2952,0.2467,-0.2884,-0.6229,-8.0034,-9.5689,-35.9698,
0.2890,-0.1116,0.3168,0.8800,-0.0964,-0.3195,0.2952,0.2467,-0.2884,-0.6229,-8.0034,-9.5689,-35.9698,
0.2900,-0.1116,0.3168,0.8800,-0.0964,-0.3195,0.2952,0.0610,-0.1012,-0.1699,-8.0034,-9.5689,-35.9698,
0.3510,-0.1116,0.3168,0.8800,-0.0964,-0.3195,0.2952,-0.3192,0.0329,0.0014,-8.0034,-9.5689,-35.9698,
0.3540,-0.1096,0.3016,0.8866,-0.0964,-0.3195,0.2952,-0.3192,0.0329,0.0014,-8.0034,-9.5689,-35.9698,
0.3550,-0.1096,0.3016,0.8866,-0.0964,-0.3195,0.2952,-0.3192,0.0329,0.0014,-7.9938,-9.5350,-35.9417,
0.3550,-0.0746,0.2474,0.9527,-0.0964,-0.3195,0.2952,-0.3192,0.0329,0.0014,-7.9938,-9.5350,-35.9417,
0.3560,-0.0501,0.2078,1.0389,-0.0964,-0.3195,0.2952,-0.3192,0.0329,0.0014,-7.9938,-9.5350,-35.9417,
0.3660,-0.0501,0.2078,1.0389,-0.5021,0.5335,-0.7066,-0.3192,0.0329,0.0014,-7.9938,-9.5350,-35.9417,
0.3720,-0.0773,0.2100,1.0506,-0.5021,0.5335,-0.7066,-0.3192,0.0329,0.0014,-7.9938,-9.5350,-35.9417,
0.3730,-0.0773,0.2100,1.0506,-0.5021,0.5335,-0.7066,-0.2866,-0.0019,-0.0582,-7.9938,-9.5350,-35.9417,
