
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.0390,-0.1218,-0.0372,1.0727,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0390,-0.1237,-0.0356,1.0571,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0390,-0.1237,-0.0356,1.0571,0.0000,0.0000,0.0000,0.0045,0.0765,-0.0236,0.0000,0.0000,0.0000,
0.0800,-0.1237,-0.0356,1.0571,0.0000,0.0000,0.0000,0.1316,-0.0518,-0.0049,0.0000,0.0000,0.0000,
0.0810,-0.1142,-0.0359,1.0268,0.0000,0.0000,0.0000,0.1316,-0.0518,-0.0049,0.0000,0.0000,0.0000,
0.0820,-0.1113,-0.0305,1.0052,0.0000,0.0000,0.0000,0.1316,-0.0518,-0.0049,0.0000,0.0000,0.0000,
0.1010,-0.1148,-0.0242,1.0034,0.0000,0.0000,0.0000,0.1316,-0.0518,-0.0049,0.0000,0.0000,0.0000,
0.1460,-0.1148,-0.0242,1.0034,0.0000,0.0000,0.0000,0.0748,0.1013,-0.0211,0.0000,0.0000,0.0000,
0.1470,-0.1191,-0.0200,1.0152,0.0000,0.0000,0.0000,0.0748,0.1013,-0.0211,0.0000,0.0000,0.0000,
0.1470,-0.1163,-0.0228,1.0278,0.0000,0.0000,0.0000,0.0748,0.1013,-0.0211,0.0000,0.0000,0.0000,
0.1480,-0.1163,-0.0228,1.0278,0.0000,0.0000,0.0000,0.0748,0.1013,-0.0211,25.7676,-2.5787,-32.3082,
0.1520,-0.1102,-0.0276,1.0333,0.0000,0.0000,0.0000,0.0748,0.1013,-0.0211,25.7676,-2.5787,-32.3082,
0.1530,-0.1102,-0.0276,1.0333,0.0000,0.0000,0.0000,0.0180,0.0652,-0.0196,25.7676,-2.5787,-32.3082,
0.1530,-0.1102,-0.0276,1.0333,0.0000,0.0000,0.0000,0.0180,0.0652,-0.0196,25.7676,-2.5787,-32.3082,
0.2120,-0.1107,-0.0298,1.0328,0.0000,0.0000,0.0000,0.0180,0.0652,-0.0196,25.7676,-2.5787,-32.3082,
0.2130,-0.1107,-0.0298,1.0328,0.0000,0.0000,0.0000,0.0549,-0.1147,-0.0239,25.7676,-2.5787,-32.3082,
0.2140,-0.1147,-0.0307,1.0299,0.0000,0.0000,0.0000,0.0549,-0.1147,-0.0239,25.7676,-2.5787,-32.3082,
0.2150,-0.1143,-0.0293,1.0293,0.0000,0.0000,0.0000,0.0549,-0.1147,-0.0239,25.7676,-2.5787,-32.3082,
0.2150,-0.1143,-0.0293,1.0293,0.0000,0.0000,0.0000,0.0549,-0.1147,-0.0239,25.8839,-2.9841,-32.9343,
0.2310,-0.1143,-0.0293,1.0293,0.0000,0.0000,0.0000,0.1163,-0.0646,-0.0257,25.8839,-2.9841,-32.9343,
0.2320,-0.1136,-0.0289,1.0323,0.0000,0.0000,0.0000,0.1163,-0.0646,-0.0257,25.8839,-2.9841,-32.9343,
0.2320,-0.1136,-0.0289,1.0323,-0.0327,0.0199,-0.0209,0.1163,-0.0646,-0.0257,25.8839,-2.9841,-32.9343,
