
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.0530,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0388,0.0769,0.0020,0.0000,0.0000,0.0000,
0.0530,0.0122,-0.1886,0.9772,0.0000,0.0000,0.0000,0.0388,0.0769,0.0020,0.0000,0.0000,0.0000,
0.1120,0.0234,-0.1982,1.0240,0.0000,0.0000,0.0000,0.0388,0.0769,0.0020,0.0000,0.0000,0.0000,
0.1130,0.0260,-0.1993,1.0147,0.0000,0.0000,0.0000,0.0388,0.0769,0.0020,0.0000,0.0000,0.0000,
0.1130,0.0180,-0.1971,0.9979,0.0000,0.0000,0.0000,0.0388,0.0769,0.0020,0.0000,0.0000,0.0000,
0.1140,0.0180,-0.1971,0.9979,0.0000,0.0000,0.0000,-0.0534,-0.0410,-0.0014,0.0000,0.0000,0.0000,
0.1140,0.0180,-0.1971,0.9979,0.0000,0.0000,0.0000,-0.0534,-0.0410,-0.0014,1.1483,28.6273,-38.9737,
0.1510,0.0214,-0.1999,0.9991,0.0000,0.0000,0.0000,-0.0534,-0.0410,-0.0014,1.1483,28.6273,-38.9737,
0.1520,0.0214,-0.1999,0.9991,0.0000,0.0000,0.0000,-0.0250,0.0097,-0.0029,1.1483,28.6273,-38.9737,
0.1530,0.0214,-0.1999,0.9991,0.0000,0.0000,0.0000,-0.0220,-0.0065,-0.0029,1.1483,28.6273,-38.9737,
0.1530,0.0233,-0.2030,1.0139,0.0000,0.0000,0.0000,-0.0220,-0.0065,-0.0029,1.1483,28.6273,-38.9737,
0.1530,0.0199,-0.1986,1.0039,0.0000,0.0000,0.0000,-0.0220,-0.0065,-0.0029,1.1483,28.6273,-38.9737,
0.1540,0.0199,-0.1986,1.0039,0.0000,0.0000,0.0000,-0.0220,-0.0065,-0.0029,1.1483,28.6273,-38.9737,
0.1700,0.0199,-0.1986,1.0039,0.0000,0.0000,0.0000,-0.0220,-0.0065,-0.0029,0.7942,28.6762,-39.0287,
0.1710,0.0212,-0.1959,1.0023,0.0000,0.0000,0.0000,-0.0220,-0.0065,-0.0029,0.7942,28.6762,-39.0287,
0.2290,0.0212,-0.1959,1.0023,0.0000,0.0000,0.0000,-0.0281,-0.0037,0.0004,0.7942,28.6762,-39.0287,
0.2300,0.0220,-0.1939,1.0078,0.0000,0.0000,0.0000,-0.0281,-0.0037,0.0004,0.7942,28.6762,-39.0287,
0.2310,0.0194,-0.1950,1.0104,0.0000,0.0000,0.0000,-0.0281,-0.0037,0.0004,0.7942,28.6762,-39.0287,
0.2320,0.0184,-0.1974,1.0112,0.0000,0.0000,0.0000,-0.0281,-0.0037,0.0004,0.7942,28.6762,-39.0287,
0.2320,0.0184,-0.1974,1.0112,-0.0020,-0.0063,-0.0184,-0.0281,-0.0037,0.0004,0.7942,28.6762,-39.0287,
0.2330,0.0184,-0.1974,1.0112,-0.0020,-0.0063,-0.0184,-0.0302,-0.0058,-0.0014,0.7942,28.6762,-39.0287,
0.2500,0.0173,-0.1991,1.0104,-0.0020,-0.0063,-0.0184,-0.0302,-0.0058,-0.0014,0.7942,28.6762,-39.0287,
0.2500,0.0173,-0.1991,1.0104,-0.0020,-0.0063,-0.0184,-0.0302,-0.0058,-0.0014,0.6709,28.7103,-39.0243,
0.2870,0.0173,-0.1991,1.0104,-0.0020,-0.0063,-0.0184,-0.0202,-0.0068,0.0007,0.6709,28.7103,-39.0243,
0.2880,0.0197,-0.2002,1.0096,-0.0020,-0.0063,-0.0184,-0.0202,-0.0068,0.0007,0.6709,28.7103,-39.0243,
0.2880,0.0176,-0.1998,1.0101,-0.0020,-0.0063,-0.0184,-0.0202,-0.0068,0.0007,0.6709,28.7103,-39.0243,
0.2890,0.0176,-0.1998,1.0101,-0.0097,0.0388,0.0154,-0.0202,-0.0068,0.0007,0.6709,28.7103,-39.0243,
0.3110,0.0176,-0.1998,1.0101,-0.0097,0.0388,0.0154,-0.0168,-0.0058,0.0007,0.6709,28.7103,-39.0243,
0.3110,0.0187,-0.1996,1.0040,-0.0097,0.0388,0.0154,-0.0168,-0.0058,0.0007,0.6709,28.7103,-39.0243,
0.3120,0.0187,-0.1996,1.0040,-0.0097,0.0388,0.0154,-0.0168,-0.0058,0.0007,0.6409,28.7089,-38.9904,
0.3650,0.0187,-0.1996,1.0040,-0.0097,0.0388,0.0154,-0.0275,-0.0141,0.0011,0.6409,28.7089,-38.9904,
0.3660,0.0180,-0.1996,1.0015,-0.0097,0.0388,0.0154,-0.0275,-0.0141,0.0011,0.6409,28.7089,-38.9904,
0.3670,0.0198,-0.2025,1.0030,-0.0097,0.0388,0.0154,-0.0275,-0.0141,0.0011,0.6409,28.7089,-38.9904,
0.3670,0.0233,-0.2031,1.0079,-0.0097,0.0388,0.0154,-0.0275,-0.0141,0.0011,0.6409,28.7089,-38.9904,
0.3680,0.0233,-0.2031,1.0079,-0.0269,0.0065,0.0168,-0.0275,-0.0141,0.0011,0.6409,28.7089,-38.9904,
0.3700,0.0233,-0.2031,1.0079,-0.0269,0.0065,0.0168,-0.0275,-0.0141,0.0011,0.6806,28.7335,-39.0054,
0.4250,0.0233,-0.2031,1.0079,-0.0143,0.0068,-0.0250,-0.0275,-0.0141,0.0011,0.6806,28.7335,-39.0054,
0.4270,0.0249,-0.2032,1.0064,-0.0143,0.0068,-0.0250,-0.0275,-0.0141,0.0011,0.6806,28.7335,-39.0054,
0.4280,0.0249,-0.2032,1.0064,-0.0143,0.0068,-0.0250,-0.0272,-0.0132,-0.0005,0.6806,28.7335,-39.0054,
0.4280,0.0248,-0.2021,1.0046,-0.0143,0.0068,-0.0250,-0.0272,-0.0132,-0.0005,0.6806,28.7335,-39.0054,
0.4290,0.0248,-0.2021,1.0046,-0.0143,0.0068,-0.0250,-0.0272,-0.0062,-0.0017,0.6806,28.7335,-39.0054,
0.4300,0.0255,-0.2027,1.0028,-0.0143,0.0068,-0.0250,-0.0272,-0.0062,-0.0017,0.6806,28.7335,-39.0054,
0.4440,0.0249,-0.2035,1.0047,-0.0143,0.0068,-0.0250,-0.0272,-0.0062,-0.0017,0.6806,28.7335,-39.0054,
0.4500,0.0249,-0.2035,1.0047,-0.0143,0.0068,-0.0250,-0.0272,-0.0062,-0.0017,0.6248,28.7844,-39.0108,
0.5020,0.0209,-0.2026,1.0036,-0.0143,0.0068,-0.0250,-0.0272,-0.0062,-0.0017,0.6248,28.7844,-39.0108,
0.5030,0.0209,-0.2026,1.0036,-0.0143,0.0068,-0.0250,-0.0345,-0.0025,-0.0008,0.6248,28.7844,-39.0108,
0.5040,0.0209,-0.2026,1.0036,-0.0143,0.0068,-0.0250,-0.0424,-0.0031,0.0014,0.6248,28.7844,-39.0108,
0.5050,0.0212,-0.2033,1.0122,-0.0143,0.0068,-0.0250,-0.0424,-0.0031,0.0014,0.6248,28.7844,-39.0108,
0.5050,0.0216,-0.2024,1.0186,-0.0143,0.0068,-0.0250,-0.0424,-0.0031,0.0014,0.6248,28.7844,-39.0108,
0.5060,0.0216,-0.2024,1.0186,0.0255,0.0113,-0.0108,-0.0424,-0.0031,0.0014,0.6248,28.7844,-39.0108,
