
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.0460,-0.0054,-0.1977,1.0173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0460,-0.0054,-0.1977,1.0173,0.0000,0.0000,0.0000,-0.0026,-0.0108,-0.0030,0.0000,0.0000,0.0000,
0.0630,-0.0066,-0.2024,1.0228,0.0000,0.0000,0.0000,-0.0026,-0.0108,-0.0030,0.0000,0.0000,0.0000,
0.1100,-0.0072,-0.1970,0.9973,0.0000,0.0000,0.0000,-0.0026,-0.0108,-0.0030,0.0000,0.0000,0.0000,
0.1110,-0.0077,-0.1925,1.0060,0.0000,0.0000,0.0000,-0.0026,-0.0108,-0.0030,0.0000,0.0000,0.0000,
0.1120,-0.0054,-0.1915,1.0082,0.0000,0.0000,0.0000,-0.0026,-0.0108,-0.0030,0.0000,0.0000,0.0000,
0.1130,-0.0054,-0.1915,1.0082,0.0000,0.0000,0.0000,0.0230,-0.0059,-0.0006,0.0000,0.0000,0.0000,
0.1140,-0.0054,-0.1915,1.0082,0.0000,0.0000,0.0000,0.0129,-0.0034,0.0003,0.0000,0.0000,0.0000,
0.1170,-0.0054,-0.1915,1.0082,0.0000,0.0000,0.0000,0.0129,-0.0034,0.0003,1.3094,28.8477,-38.8229,
0.1660,-0.0060,-0.1900,1.0068,0.0000,0.0000,0.0000,0.0129,-0.0034,0.0003,1.3094,28.8477,-38.8229,
0.1670,-0.0060,-0.1900,1.0068,0.0000,0.0000,0.0000,0.0227,-0.0093,-0.0018,1.3094,28.8477,-38.8229,
0.1680,-0.0066,-0.1883,1.0096,0.0000,0.0000,0.0000,0.0227,-0.0093,-0.0018,1.3094,28.8477,-38.8229,
0.1680,-0.0081,-0.1873,1.0120,0.0000,0.0000,0.0000,0.0227,-0.0093,-0.0018,1.3094,28.8477,-38.8229,
0.1690,-0.0081,-0.1873,1.0120,0.0000,0.0000,0.0000,0.0227,-0.0093,-0.0018,1.3094,28.8477,-38.8229,
0.1960,-0.0087,-0.1869,1.0159,0.0000,0.0000,0.0000,0.0227,-0.0093,-0.0018,1.3094,28.8477,-38.8229,
0.1980,-0.0087,-0.1869,1.0159,0.0000,0.0000,0.0000,0.0209,-0.0151,0.0000,1.3094,28.8477,-38.8229,
0.1980,-0.0087,-0.1869,1.0159,0.0000,0.0000,0.0000,0.0209,-0.0151,0.0000,1.4909,28.9563,-38.8759,
0.2310,-0.0093,-0.1836,1.0093,0.0000,0.0000,0.0000,0.0209,-0.0151,0.0000,1.4909,28.9563,-38.8759,
0.2320,-0.0093,-0.1836,1.0093,0.0000,0.0000,0.0000,0.0074,-0.0184,0.0006,1.4909,28.9563,-38.8759,
0.2340,-0.0099,-0.1845,0.9985,0.0000,0.0000,0.0000,0.0074,-0.0184,0.0006,1.4909,28.9563,-38.8759,
0.2460,-0.0082,-0.1902,1.0142,0.0000,0.0000,0.0000,0.0074,-0.0184,0.0006,1.4909,28.9563,-38.8759,
0.2470,-0.0082,-0.1902,1.0142,-0.0077,0.0296,0.0237,0.0074,-0.0184,0.0006,1.4909,28.9563,-38.8759,
0.2560,-0.0082,-0.1902,1.0142,-0.0077,0.0296,0.0237,0.0074,-0.0184,0.0006,1.5991,28.9392,-38.8749,
0.3030,-0.0082,-0.1902,1.0142,-0.0181,0.0266,0.0028,0.0074,-0.0184,0.0006,1.5991,28.9392,-38.8749,
0.3040,-0.0079,-0.1919,1.0123,-0.0181,0.0266,0.0028,0.0074,-0.0184,0.0006,1.5991,28.9392,-38.8749,
0.3040,-0.0079,-0.1919,1.0123,-0.0181,0.0266,0.0028,0.0056,-0.0080,0.0021,1.5991,28.9392,-38.8749,
0.3050,-0.0078,-0.1894,1.0021,-0.0181,0.0266,0.0028,0.0056,-0.0080,0.0021,1.5991,28.9392,-38.8749,
0.3060,-0.0078,-0.1894,1.0021,-0.0181,0.0266,0.0028,0.0166,-0.0016,0.0052,1.5991,28.9392,-38.8749,
0.3060,-0.0084,-0.1870,1.0091,-0.0181,0.0266,0.0028,0.0166,-0.0016,0.0052,1.5991,28.9392,-38.8749,
0.3150,-0.0084,-0.1870,1.0091,-0.0181,0.0266,0.0028,0.0166,-0.0016,0.0052,1.6731,28.9494,-38.9340,
0.3770,-0.0068,-0.1865,1.0086,-0.0181,0.0266,0.0028,0.0166,-0.0016,0.0052,1.6731,28.9494,-38.9340,
0.3790,-0.0068,-0.1865,1.0086,-0.0181,0.0266,0.0028,0.0093,-0.0120,0.0025,1.6731,28.9494,-38.9340,
0.3790,-0.0062,-0.1866,1.0097,-0.0181,0.0266,0.0028,0.0093,-0.0120,0.0025,1.6731,28.9494,-38.9340,
0.3800,-0.0049,-0.1889,1.0118,-0.0181,0.0266,0.0028,0.0093,-0.0120,0.0025,1.6731,28.9494,-38.9340,
0.3810,-0.0042,-0.1912,1.0111,-0.0181,0.0266,0.0028,0.0093,-0.0120,0.0025,1.6731,28.9494,-38.9340,
0.3820,-0.0042,-0.1912,1.0111,-0.0181,0.0266,0.0028,0.0084,-0.0172,-0.0009,1.6731,28.9494,-38.9340,
0.3820,-0.0042,-0.1912,1.0111,-0.0142,-0.0056,-0.0019,0.0084,-0.0172,-0.0009,1.6731,28.9494,-38.9340,
0.3950,-0.0042,-0.1912,1.0111,-0.0142,-0.0056,-0.0019,0.0084,-0.0172,-0.0009,1.6328,28.9014,-38.9510,
0.4400,-0.0039,-0.1916,1.0103,-0.0142,-0.0056,-0.0019,0.0084,-0.0172,-0.0009,1.6328,28.9014,-38.9510,
0.4410,-0.0039,-0.1916,1.0103,0.0049,-0.0095,0.0135,0.0084,-0.0172,-0.0009,1.6328,28.9014,-38.9510,
0.4420,-0.0026,-0.1891,1.0118,0.0049,-0.0095,0.0135,0.0084,-0.0172,-0.0009,1.6328,28.9014,-38.9510,
0.4420,-0.0035,-0.1865,1.0100,0.0049,-0.0095,0.0135,0.0084,-0.0172,-0.0009,1.6328,28.9014,-38.9510,
