
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.0650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0074,0.0053,0.0002,0.0000,0.0000,0.0000,
0.0660,-0.0002,0.0695,1.0219,0.0000,0.0000,0.0000,-0.0074,0.0053,0.0002,0.0000,0.0000,0.0000,
0.0670,0.0007,0.0748,1.0213,0.0000,0.0000,0.0000,-0.0074,0.0053,0.0002,0.0000,0.0000,0.0000,
0.0970,0.0007,0.0748,1.0213,0.0000,0.0000,0.0000,-0.0034,-0.0002,-0.0004,0.0000,0.0000,0.0000,
0.0980,0.0023,0.0764,1.0200,0.0000,0.0000,0.0000,-0.0034,-0.0002,-0.0004,0.0000,0.0000,0.0000,
0.0980,0.0012,0.0736,1.0227,0.0000,0.0000,0.0000,-0.0034,-0.0002,-0.0004,0.0000,0.0000,0.0000,
0.1170,0.0012,0.0736,1.0227,0.0000,0.0000,0.0000,0.0171,-0.0118,-0.0010,0.0000,0.0000,0.0000,
0.1180,-0.0005,0.0731,1.0233,0.0000,0.0000,0.0000,0.0171,-0.0118,-0.0010,0.0000,0.0000,0.0000,
0.1530,-0.0006,0.0769,1.0222,0.0000,0.0000,0.0000,0.0171,-0.0118,-0.0010,0.0000,0.0000,0.0000,
0.1540,0.0006,0.0805,1.0228,0.0000,0.0000,0.0000,0.0171,-0.0118,-0.0010,0.0000,0.0000,0.0000,
0.1550,0.0006,0.0805,1.0228,0.0000,0.0000,0.0000,0.0247,-0.0127,0.0021,0.0000,0.0000,0.0000,
0.1550,0.0006,0.0805,1.0228,0.0000,0.0000,0.0000,0.0247,-0.0127,0.0021,0.0000,0.0000,0.0000,
0.1630,0.0006,0.0805,1.0228,0.0000,0.0000,0.0000,0.0247,-0.0127,0.0021,0.5024,16.8136,-45.3792,
0.1840,0.0041,0.0825,1.0261,0.0000,0.0000,0.0000,0.0247,-0.0127,0.0021,0.5024,16.8136,-45.3792,
0.2300,0.0041,0.0825,1.0261,0.0000,0.0000,0.0000,0.0165,0.0001,0.0021,0.5024,16.8136,-45.3792,
0.2320,0.0054,0.0789,1.0296,0.0000,0.0000,0.0000,0.0165,0.0001,0.0021,0.5024,16.8136,-45.3792,
0.2330,0.0038,0.0755,1.0311,0.0000,0.0000,0.0000,0.0165,0.0001,0.0021,0.5024,16.8136,-45.3792,
0.2340,0.0038,0.0755,1.0311,0.0000,0.0000,0.0000,0.0149,-0.0045,-0.0019,0.5024,16.8136,-45.3792,
0.2350,0.0011,0.0737,1.0286,0.0000,0.0000,0.0000,0.0149,-0.0045,-0.0019,0.5024,16.8136,-45.3792,
0.2350,0.0011,0.0737,1.0286,-0.0073,0.0095,0.0087,0.0149,-0.0045,-0.0019,0.5024,16.8136,-45.3792,
0.2360,0.0011,0.0737,1.0286,-0.0073,0.0095,0.0087,0.0149,-0.0045,-0.0019,0.3827,16.7100,-45.3721,
0.2510,-0.0011,0.0742,1.0277,-0.0073,0.0095,0.0087,0.0149,-0.0045,-0.0019,0.3827,16.7100,-45.3721,
0.2900,-0.0032,0.0741,1.0253,-0.0073,0.0095,0.0087,0.0149,-0.0045,-0.0019,0.3827,16.7100,-45.3721,
0.2910,-0.0032,0.0741,1.0253,-0.0073,0.0095,0.0087,0.0226,-0.0130,-0.0034,0.3827,16.7100,-45.3721,
0.2910,-0.0032,0.0741,1.0253,0.0140,-0.0066,0.0481,0.0226,-0.0130,-0.0034,0.3827,16.7100,-45.3721,
0.2920,-0.0043,0.0745,1.0227,0.0140,-0.0066,0.0481,0.0226,-0.0130,-0.0034,0.3827,16.7100,-45.3721,
